,alb,ara,chn,deu,ell,eng,fin,fra,hrv,ind,ita,jpn,pol,por,zsm,nld,rus,spa,vnm
Pet,Kam një Biball !,لدي كويرات,,Ich habe ein Biboles,Έχω ένα Biball!,I've got a Biball !,lemmikki,J'ai un Biboule !,Imam Biboule!,Saya mempunyai Biball!,Ho un Biball!,,Mam Biballa!,*Eu tenho um Biball!,Saya mempunyai Biball!,Ik heb een paar !,Домашний питомец,Yo tengo un Bibole!,Tôi có Bóng Bi!
SpeedEffects,Shpejtësia e efekteve,سرعة,,Weißer Hintergrund,Ταχύτητα επίδρασης,Effect speed,vauhtiefektit,Vitesse des animations,Brzina animacije,Kelajuan kesan,Velocità delle animazioni,,Szybkość efektu,*Velocidade do efeito,Kelajuan kesan,Snelheids effecten,Эффекты скорости,Velocidad de las animaciones,Tốc độ của hiệu ứng
WhiteBackground,Sfond i bardhë,اختيار خلفية بيضاء,,Animationsgeschwindigkeit,Λειτουργία λευκού φόντου,White Background mode,valkoinen tausta,Mode fond blanc,Bijela pozadina,Mod Latar Belakang Putih,Modalità sfondo bianco,,Tryb białego tła,*Modo de fundo branco,Mod Latar Belakang Putih,Witte achtergrond modus,Режим белого фона,Modo fondo de pantalla blanco,Chế độ hình nền trắng
EnableGazeMouse,Aktivizo mouse ,تشغيل مظاهات الفارة البصرية اضغط س لايقاف/تشغيل,,Aktivieren der visuellen Mausemulation ; drücken Sie S um die Emulation zu stoppen/starten ; Drücken Sie die Leertaste um den Mausklick zu emulieren.,Ενεργοποιήστε την εξομοίωση του Mouse Gaze. πατήστε S για να διακόψετε ; ξεκινήσετε την εξομοίωση. Πατήστε το πλήκτρο διαστήματος για να εξομοιώσετε το κλικ.,Enable the Gaze Mouse emulation ; press S to stop/start the emulation ; Press space to emulate click,aktivoi katseohjainhiiri,Activer l'émulation de la souris visuelle ; appuyez sur S pour arrêter/commencer l'émulation ; appuyez sur espace pour émuler un click de souris,Aktiviraj opciju pogled; Pritisni S za stop/start; Pritisni razmaknicu za efekt klik misa,Dayakan emulasi Gaze Mouse; tekan S untuk menghentikan / memulakan emulasi; Tekan ruang untuk meniru klik,Attiva modalità emulazione mouse ; premi S per fermare/avviare l'emulatore ; premi spazio per emulare il click del mouse,,Włącz emulację Gaze Mouse; naciśnij S,*Ative a emulação do Gaze Mouse; pressione S para parar / iniciar a emulação; Pressione espaço para emular clique,Dayakan emulasi Gaze Mouse; tekan S untuk menghentikan / memulakan emulasi; Tekan ruang untuk meniru klik,Activeer de oogsturing via muissimulatie ; druk S om de muissimulaite te stoppen/starten ; klik op de spatiebar om een klik na te doen,Включить эмуляцию Gaze мышки ; нажмите на S ; чтобы начать/остановить эмуляцию; нажмите пробел для эмуляции клика,Activación de la emulación del ratón visual ; presione S para detener/iniciar la emulación ; presione espacio para emular el clic,Bật giả lập Chuột Gaze; ấn S để dừng/bắt đầu giả lập
AddUser,Shto një përdorues të ri,اظافة مستخدم جديد,,Neuen Benutzer hinzufügen,Προσθήκη νέου χρήστη,Add new user,lisää käyttäjä,Ajouter un nouvel utilisateur,Dodaj novog korisnika,Tambah pengguna baharu,Aggiungi un nuovo utente,,Dodaj nowego użytkownika, aby zatrzymać / rozpocząć emulację; Naciśnij spację,Tambah pengguna baharu, aby emulować kliknięcie,Добавить нового пользователя,Agregar un usuario,Thêm người dùng mới
DefaultUser,Përdorues i parazgjedhur,مستخدم افتراضي,,Standardbenutzer,Προεπιλεγμένος χρήστης,Default User,poista käyttäjä,Utilisateur par Défaut,Zadani korisnik,Pengguna Lalai,Utente standard,,Domyślny użytkownik,*Usuário padrão,Pengguna Lalai,Standaard Gebruiker,Пользователь по умолчанию,Usuario predeterminado,Người dùng mặc định
NewUser,Përdorues i ri, مستخدم جديد,,Neuer Benutzer,Νέος χρήστης,New user,uusi käyttäjä,Nouvel utilisateur,Novi korisnik,Pengguna baru,Nuovo utente,,Nowy użytkownik,*Novo usuário,Pengguna baru,Nieuwe gebruiker,Новый пользователь,Nuevo usario,Người dùng mới
Remove,Dëshiron të fshish këtë përdorues?,هل تريد فعلا محو المستخدم؟,,Wollen Sie diesen Benutzer wirklich löschen? ,Θέλετε πραγματικά να διαγράψετε αυτόν τον χρήστη;,Do you really want to delete this user ?,poista,Voulez vous vraiment supprimer cet utilisateur ?,Želiš li zaista obrisati ovog korisnika?,Adakah anda benar-benar mahu memadam pengguna ini?,Vuoi davvero eliminare questo utente?,,Czy na pewno chcesz usunąć tego użytkownika?,*Você realmente deseja excluir este usuário?,Adakah anda benar-benar mahu memadam pengguna ini?,Ben je zeker dat je deze gebruiker wil verwijderen?,Вы действительно хотите удалить данного пользователя?,¿Realmente quieres eliminar a este usuario?,Bạn có muốn xóa người dùng này thật không
UserModif,Modifiko përdoruesin,تغيير المستخدم,,Ändern des Benutzers,Τροποποίηση χρήστη,User Modification,käyttäjän muokkaaminen,Modification de l'utilisateur,Modificiraj korisnika,Pengubahsuaian Pengguna,Modifica utente,,Modyfikacja użytkownika,*Modificação do usuário,Pengubahsuaian Pengguna,Gebruikers instellingen,Обновление данных пользователя,Modificación del usario,Tùy chỉnh người dùng
YesRemove,Po (fshi),نعم (محو),,Ja (löschen),Ναι (Διαγραφή),Yes (delete),Kyllä poista,Oui (supprimer),Da (obriši),Ya (padamkan),Si (rimuovi),,Tak (usuń),*Sim (excluir),Ya (padamkan),Ja (verwijder),Да (удалить),Si (eliminar),Có (xóa)
NoCancel,Jo (anullo),لا (الغاء),,Nein (Annullierer),Όχι (ακύρωση),No (cancel),Ei kumota,Non (annuler),Ne (poništi),Tidak (membatalkan),No (annulla),,Nie (anuluj),*Não (cancelar),Tidak (membatalkan),Neen (cancel),Нет (отменить),No (anular),Không (quay Lại)
Name,Emri,اسم,,Name,Όνομα,Name,nimi,Nom,Ime,Nama,Nome,,Nazwa,*Nome,Nama,Naam,Имя,Nombre,Tên
enterName,Shruaj një emër,ادخل الاسم,,Geben Sie einen Namen,Εισαγάγετε ένα όνομα,Enter a name,lisää nimi,Entrer un nom,Unesi ime,Masukkan nama,Inserisci un nome,,Wpisz imię,*Insira o nome,Masukkan nama,Geef een naam,Введите имя,Ingresa un nombre,Nhập tên
ChooseImage,Zgjidh një imazh,اختر صورة,,Wählen Sie ein Bild,Επιλέξτε μια εικόνα,Choose an image,valitse kuva,Choisissez une image,Izaberi sliku,Pilih imej,Scegli un'immagine,,Wybierz obraz,*Escolha uma imagem,Pilih imej,Kies een kleurplaat,Выберите изображение,Elige una imagen,Chọn một hình
Image,Imazh ,صورة,,Bild,Εικόνα,Image,kuva,Image,Slika,Gambar,Immagine,,Obraz,*Imagem,Gambar,Kleurplaat,Изображение,Imagen,Hình ảnh
AlreadyUsed,Ky përdorues ekziston,اسم المستخدم غير متوفر,,Dieser Benutzername existiert bereits,Αυτό το όνομα χρήστη υπάρχει ήδη,This user name exists already,käytössä,Ce nom d'utilisateur existe déjà,Ime korisnika već postoji,Nama pengguna ini sudah wujud,Questo nome utente è già utilizzato,,Ta nazwa użytkownika już istnieje,*Este nome de usuário já existe,Nama pengguna ini sudah wujud,Deze gebruikersnaam bestaat reeds,Пользователь с таким именем уже существует,Este nombre de usario ya existe,Tên người dùng này đã tồn tại
MediaPlayer,Media Player,مشغل الوسائط,,Media Player,Media Player,Media Player,media player,Media Player,Media Player,Pemain media,Media Player,,Odtwarzacz multimedialny,Media Player,Pemain media,Media Player,Медиа плеер,Media Player,Media Player
RushHour,Ora e pikut,ساعة الذروة,,Rush Hour,Ώρα αιχμής,Rush Hour,Rush hour ; ruuhka-aika,Rush Hour,Rush Hour,Masa yang sibuk,Rush Hour,,Godziny szczytu,Rush Hour,Masa yang sibuk,Rush Hour,Час пик,Rush Hour,*Giờ cao điểm
QuitKey,Tasti për të dalë,مفتاح الخروج,,,,Quit Key,,Bouton pour quitter,,,Tasto per uscire,,,,,,,Tecla para salir,
Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny
Caminandes 2: Gran Dillama - Blender Animated Short,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama
Caminandes 3: Llamigos - Funny 3D Animated Short,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos
1H de Petit Ours Brun,Aventurat e arushit të vogël kaf,ساعة من الدب البني الصغير,,,,,,1H de Petit Ours Brun,,,Le avventure del piccolo orsacchiotto marrone,,,,,,,Las aventuras del osito pardo,
Zou s'amuse,Zou argëtohet,زو يمرح,,,,Zou’s having fun,,Zou s'amuse,,,Zou si diverte,,,,,,,Zou se divierte,
Tchoupi et ses amis,Çupi dhe shokët e tij,تشوبي وأصدقائه,,,,Tchoupi and his friends,,Tchoupi et ses amis,,,Tchoupi e i suoi amici,,,,,,,Tchoupi y sus amigos,
Princesse sofia rencontre Belle,Princesha Sofia takon Belën ,الأميرة صوفيا تلتقي بيل,,,,Princess Sofia meets Belle,,Princesse sofia rencontre Belle,,,La principessa Sofia incontra Bella,,,,,,,La princesa Sofía se encuentra con Belle,
Look at the destination box to move,Për të lëvizur shiko kutinë ku do të mbërrish,أنظر إلى المربع لتتحرك,,,,Look at the destination box to move,,Regarde la boîte de destination pour bouger,,,Guarda la cassetta destinazione per muoverti,,,,,,,Mira el cuadro de destino para moverte,
Look the movement arrows around the mouse to move,Për të lëvizur shiko shigjetat përqark miut ,أنظر إلى الأسهم حول الفأر لتتحرك,,,,Look the movement arrows around the mouse to move,,Regarde les flèches de mouvement autour de la souris pour bouger,,,Guarda le frecce di movimento intorno al topo per muoverti,,,,,,,Mira las flechas de movimiento alrededor del ratón para moverte,
Look the movement arrows around the labyrinth to move,Për të lëvizur shiko shigjetat përqark labirintit,أنظر إلى الأسهم حول المتاهات لتتحرك,,,,Look the movement arrows around the labyrinth to move,,Regarde les flèches de mouvement autour du labyrinthe pour bouger,,,Guarda le frecce di movimento intorno al labirinto per muoverti,,,,,,,Mira las flechas de movimiento alrededor del laberinto para moverte,
Select the mouse then look at the destination box to move,Selekto miun pastaj shiko kutinë ku do të mbërrish,إختر الفأر ثم أنظر إلى الوجهة لتتحرك,,,,Select the mouse then look at the destination box to move,,Selectionne la souris et après regarde la boîte de destination pour bouger,,,Selezziona il topo poi guarda la cassetta di destinazione per muoverti,,,,,,,Selecciona el ratón y luego mira el cuadro de destino para moverte,
free,Lehtë,حر,,,,Free,,Facile,,,Facile,,,,,,,Fácil,
normal,Normal,عادي,,,,Normal,,Normal,,,Normale,,,,,,,Normal,
extreme,Ekstrem,درجة قصوى,,,,Extreme,,Extrême,,,Estremo,,,,,,,Extremo,
Biboule Jump,Biboule Jump,بيبول يقذف,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump,Biboule Jump
Score,Pikët,مجموع النقاط,,,,Score,,Score,,,Punteggio,,,,,,,Puntuación,
Highscore,Rekord ,أعلى نتيجة,,,,Highscore,,Meilleur score,,,Record !,,,,,,,Récord,
New highscore!,Rekord i ri !,نتيجة عالية جديدة,,,,New highscore!,,Nouveau meilleur score!,,,Nuovo record !,,,,,,,Niuevo récord !,
targets, shënjestra,أهداف,,,,  targets,, objectifs,,, bersagli,,,,,,, objetivos,
cups, tasa,كؤوس,,,, cups,, tasses,,, tazze,,,,,,, tazas,
Math101,,,,,,Math 101: Addition,, Math 101: Addition,,,,,,,,,,,
Math102,,,,,,Math 102: Subtraction,, Math 102: Soustraction,,,,,,,,,,,
Math103,,,,,,Math 103: Multiplication,, Math 103: Multiplication,,,,,,,,,,,
Math104,,,,,,Math 104: Division,, Math 104: Division,,,,,,,,,,,
Math201,,,,,,Math 201,, Math 201,,,,,,,,,,,
MathDesc,,,,,,Addition & Subtraction Multiplication & Division,,Addition & Soustraction Multiplication & Division,,,,,,,,,,,
MathDescAdd,,,,,,Add two numbers!,,Addition de deux nombres!,,,,,,,,,,,
MathDescSub,,,,,,Subtract two numbers!,,Soustraction de deux nombres!,,,,,,,,,,,
MathDescMult,,,,,,Multiply two numbers!,,Multiplication de deux nombres!,,,,,,,,,,,
MathDescDiv,,,,,,Divide two numbers!,,Division de deux nombres!,,,,,,,,,,,
0 to 3,,,,,,0 to 3,,De 0 à 3,,,,,,,,,,,
0 to 5,,,,,,0 to 5,,De 0 à 5,,,,,,,,,,,
0 to 7,,,,,,0 to 7,,De 0 à 7,,,,,,,,,,,
0 to 8,,,,,,0 to 8,,De 0 à 8,,,,,,,,,,,
0 to 9,,,,,,0 to 9,,De 0 à 9,,,,,,,,,,,
0 to 10,,,,,,0 to 10,,De 0 à 10,,,,,,,,,,,
0 to 11,,,,,,0 to 11,,De 0 à 11,,,,,,,,,,,
0 to 12,,,,,,0 to 12,,De 0 à 12,,,,,,,,,,,
0 to 15,,,,,,0 to 15,,De 0 à 15,,,,,,,,,,,
0 to 20,,,,,,0 to 20,,De 0 à 20,,,,,,,,,,,
0 to 30,,,,,,0 to 30,,De 0 à 30,,,,,,,,,,,
findodd,Çfarë nuk shkon ?,,,,,Find the Odd one out,,Trouvez l’intrus,,,Trova l’intruso,,,,,,,,
Choose Game Variant,Zgjidh variantin a lojës,,,,,Choose Game Variant,,Choisissez une variante de jeu,,,,,,,,,,,
With moving platforms,Me platforma lëvizëse ,,,,,With moving platforms,,Avec les platformes animées,,,,,,,,,,,
Without moving platforms,Pa platforma lëvizëse,,,,,Without moving platforms,,Sans les platformes animées,,,,,,,,,,,
Target games,,,,,,Target games,,,,,,,,,,,,,
Memorization games,,,,,,Memorization games,,,,,,,,,,,,,
Searching games,,,,,,Searching games,,,,,,,,,,,,,
Spot the differences,,,,,,Spot the differences,,Trouvez les différences,,,,,,,,,,,
Spot all the differences,,,,,,Spot all the differences,,Trouvez toutes les différences,,,,,,,,,,,
Differences found,,,,,,Differences found,,Différences trouvées,,,,,,,,,,,
Dice,,,,,,Dice,,Dés,,,,,,,,,,,
1 die,,,,,,1 die,,1 dé,,,,,,,,,,,
2 dice,,,,,,2 dice,,2 dés,,,,,,,,,,,
3 dice,,,,,,3 dice,,3 dés,,,,,,,,,,,
4 dice,,,,,,4 dice,,4 dés,,,,,,,,,,,
5 dice,,,,,,5 dice,,5 dés,,,,,,,,,,,
6 dice,,,,,,6 dice,,6 dés,,,,,,,,,,,
