AVAILABLE LANGUAGES,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
WhereIsTheAnimal,Ku është kafsha?,اين هذا الحيوان؟,Дзе гэта жывёла?,这个动物在哪？,Wo ist dieses Tier?,Επιτυχημένες αποκαλύψεις,Where is this animal?,missä on eläin,Où est cet animal ?,,Gdje je ova životinja?,Di manakah haiwan ini?,Dov'è questo animale?,このせいぶつはドコ？,Waar is dit dier?,Gdzie jest to zwierzę?,Onde està essa animal ?,Где это животное?,Donde está este animal?,Con vật này ở đâu?,Di manakah haiwan ini?
WhereIsTheColor,Ku është ngjyra?,اين هذا اللون؟,Дзе гэты колер?,这个颜色在哪？,Wo ist die Farbe?,Επιτυχημένες αποκαλύψεις,Where is this color?,missä on väri,Où est cette couleur ?,,Gdje je ova boja?,Di manakah warna ini?,Dov'è questo colore?,このいろはドコ？,Waar is deze kleur?,Gdzie jest ten kolor?,Onde està essa côr ?,Где этот цвет?,Donde ves este color?,Màu này ở đâu?,Di manakah warna ini?
WhereIsTheLetter,Ku është shkronja?,اين هذا الحرف؟,Дзе гэтая літара?,这个字母在哪？,,,Where is the letter?,,Où est cette lettre ?,,,,Dov'è questa lettera?,,Waar is de letter?,,,Где эта буква?,,,
WhereIsTheNumber,Ku është numri?,اين هذا الرقم؟,Дзе гэтая лічба?,这个数字在哪？,,,Where is the number?,,Où est ce nombre ?,,,,Dov'è questo numero?,,Waar is het cijfer?,,,Где эта цифра?,,,
WhereIsTheShape,Ku është formë?,اين هذا الشكل؟,Дзе гэтая форма?,这个形状在哪？,Wo ist diese Form?,,Where is the shape?,missä on muoto,Où est cette forme ?,,Gdje je ovaj oblik?,Di manakah bentuk ini?,Dov'è questa forma?,,Waar is het vorm?,Gdzie jest ten kształt?,Onde está essa forma?,Где эта фигура?,Donde está esta forma?,Hình dạng này ở đâu?,Di manakah bentuk ini?

# VARIANT CHOOSE TEXTS
Choose Game Variant,Zgjidhni një variant të lojës,اختر نوع اللعبة,Выберыце варыянт гульні,选择游戏变体,Wähle eine Spielvariante,Επιλέξτε μια παραλλαγή παιχνιδιού,Choose a Game Variant,Valitse peliversio,Choisissez une variante de jeu,एक गेम प्रकार चुनें,Odaberite varijantu igre,Pilih varian permainan,Scegli una variante di gioco,ゲームのバリエーションを選択してください,Kies een spelvariant,Wybierz wariant gry,Escolha uma variante de jogo,Выберите вариант игры,Elige una variante del juego,Chọn một biến thể trò chơi,Pilih varian permainan
Choose number of cups,,,Выберыце колькасць кубкаў,选择杯子数量,,,Choose number of cups,,Choisis le nombre de gobelets,,,,,,Kies het aantal kopjes,,,Выберите количество чашек,,,
Choose number of dices,,,Выберыце колькасць касцей,选择色子数量,,,Choose number of dices,,Choisis le nombre de dés,,,,,,kies een aantal dobbelstenen,,,Выберите количество костей,,,
Choose number of players,,,Выберыце колькасць гульцоў,选择玩家数量,,,Choose number of players,,Choisis le nombre de joueurs,,,,,,kies het aantal spelers,,,Выберите количество игроков,,,
Choose number of steps,,,Выберыце колькасць этапаў да вылучэння,选择孵化前步骤数量,,,Choose number of steps before hatching,,Choisis le nombre d'étapes avant l'éclosion,,,,,,,,,Выберите количество этапов до вылупления,,,
Choose number of targets,,,Выберыце колькасць мэтаў,选择目标数量,,,Choose number of targets,,Choisis le nombre de cibles,,,,,,Kies het aantal doelen,,,Выберите количество целей,,,
Choose the video,,,,,,,Choose the video,,Choisie la vidéo,,,,,,,,,,,,
cups,tasa,كؤوس,кубкі,,,,cups,,gobelets,,,,tazze,,Bekers,,,чашки,tazas,,
players,,,гульцы,玩家,,,players,,joueurs,,,,,,spelers,,,игроки,,,
targets,shënjestra,أهداف,мэты,目标,,,targets,,objectifs,,,,bersagli,,Doelen,,,цели,objetivos,,

# VARIANT CATEGORIES
Easy,,,,,,,Easy,,Facile,,,,,,,,,,,,
Normal,,,,,,,Normal,,Normal,,,,,,,,,,,,
NormalM,,,,,,,Normal,,Normal,,,,,,,,,,,,
Static,,,,,,,Static,,Statique,,,,,,,,,,,,
Dynamic,,,,,,,Dynamic,,Dynamique,,,,,,,,,,,,
Classic,,,,,,,Classic,,Classique,,,,,,,,,,,,
HightContrasts,,,,,,,Hight-Contrasts,,Contrastes élevés,,,,,,,,,,,,
MouseC,,,,,,,Mouse and cheese,,Souris et frommage,,,,,,,,,,,,
OtherC,,,,,,,Other characters,,Autres personnages,,,,,,,,,,,,
BigF,,,,,,,Big,,Grosses,,,,,,,,,,,,
HightF,,,,,,,Hight,,Grandes,,,,,,,,,,,,
NormalF,,,,,,,Normal,,Normales,,,,,,,,,,,,
SmallF,,,,,,,Small,,Petites,,,,,,,,,,,,
TinyF,,,,,,,Tiny,,Minuscules,,,,,,,,,,,,
InfinityF,,,,,,,Infinity,,À l'infini,,,,,,,,,,,,

# VARIANTS
easy,,,,,,,Easy,,Facile,,,,,,,,,,,,
normal,,,,,,,Normal,,Normal,,,,,,,,,,,,
Word Comprehension,,,,,,,Word Comprehension,,Compréhension de mots,,,,,,,,,,,,
Sentence Comprehension,,,,,,,Sentence Comprehension,,Compréhension de phrases,,,,,,,,,,,,
With moving platforms,Me platforma lëvizëse,,З платформамі якія рухаюцца,移动平台,,,With moving platforms,,Avec les platformes animées,,,,Con piattaforme mobili,,Met bewegende platformen,,,С движущимися платформами,,,
Without moving platforms,Pa platforma lëvizëse,,Без платформаў якія рухаюцца,固定平台,,,Without moving platforms,,Sans les platformes animées,,,,Senza piattaforme mobili,,Zonder bewegende platformen,,,Без двигающихся платформ,,,
NormalB,,,звычайныя бутэлькі,,,,normal bottles,,bouteilles normales,,,,,,,,,обычные бутылки,,,
BigB,,,вялікія бутэлькі,,,,big bottles,,grosses bouteilles,,,,,,,,,большие бутылки,,,
SmallB,,,маленькія бутэлькі,,,,small bottles,,petites bouteilles,,,,,,,,,маленькие бутылки,,,
HighB,,,высокія бутэлькі,,,,high botles,,grandes bouteilles,,,,,,,,,высокие бутылки,,,
TinyB,,,нізкія бутэлькі,,,,tiny bottles,,bouteilles minuscules,,,,,,,,,низкие бутылки,,,
InfinityB,,,,,,,infinity bottles,,bouteilles à l'infini,,,,,,,,,,,,
ToTop,,,знізу ўверх,从下到上,,,from bottom to top,,du bas vers le haut,,,,,,,,,снизу вверх,de abajo hacia arriba,,
ToBottom,,,зверху ўніз,从上到下,,,from top to bottom,,du haut vers le bas,,,,,,,,,сверху вниз,de arriba hacia abajo,,
ToRight,,,злева направа,从左到you,,,from left to right,,de gauche à droite,,,,,,,,,слева направо,de la izquierda hacia la derecha,,
ToLeft,,,справа налева,从右到左,,,from right to left,,de droite à gauche,,,,,,,,,справа налево,de la derecha hacia la izquierda,,
Fix,,,,,,,fix,,fixe,,,,,,,,,,,,
OneLayer,,,,,,,Easy,,Facile,,,,,,,,,,,,
ThreeLayers,Normal,عادي,Нармальны,普通,,,Normal,,Normal,,,,Normale,,Normaal,,,Нормальный,Normal,,
ThreeLayersHiden,Ekstrem,درجة قصوى,Экстрэмальны,困难,,,Extreme,,Extrême,,,,Estremo,,Extreem,,,Экстримальный,Extremo,,
Bloc,,,,,,,Bloc,,Bloc,,,,,,,,,,,,
Space,,,,,,,Space Invader,,Space Invader,,,,,,,,,,,,
Arc,,,,,,,Rainbow,,Arc-en-ciel,,,,,,,,,,,,
Smiley,,,,,,,Smiley,,Sourire,,,,,,,,,,,,
ConnectNumbers,,,,,,,Connect numbers,,Connecter des chiffres,,,,,,,,,,,,
ConnectOrder,,,,,,,Connect in order,,Connecter dans l'ordre,,,,,,,,,,,,
ConnectNumbersDynamic,,,,,,,Connect in order dynamic,,Connecter des chiffres dynamique,,,,,,,,,,,,
ConnectOrderDynamic,,,,,,,Connect in order  dynamic,,Connecter dans l'ordre  dynamique,,,,,,,,,,,,
Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny,Big Buck Bunny
Caminandes 2,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama,Caminandes 2: Gran Dillama
Caminandes 3,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos,Caminandes 3: Llamigos
Petit Ours Brun,Aventurat e arushit të vogël kaf,ساعة من الدب البني الصغير,,,,,,,1H de Petit Ours Brun,,,,Le avventure del piccolo orsacchiotto marrone,,1H Kleine bruine beren,,,,Las aventuras del osito pardo,,
Zou s'amuse,Zou argëtohet,زو يمرح,Зу весяліцца,,,,Zou’s having fun,,Zou s'amuse,,,,Zou si diverte,,Zou heeft plezier,,,Зу веселится,Zou se divierte,,
Tchoupi et ses amis,Çupi dhe shokët e tij,تشوبي وأصدقائه,Чупі і яго сябры,,,,Tchoupi and his friends,,Tchoupi et ses amis,,,,Tchoupi e i suoi amici,,Tjoepie en zijn vrienden,,,Чупи и его друзья,Tchoupi y sus amigos,,
Princesse Sofia rencontre Belle,Princesha Sofia takon Belën,الأميرة صوفيا تلتقي بيل,Прынцэса Сафія сустракае Бель,,,,Princess Sofia meets Belle,,Princesse Sofia rencontre Belle,,,,La principessa Sofia incontra Bella,,Princes Sofia ontmoet Belle,,,Принцесса София встречает Белль,La princesa Sofía se encuentra con Belle,,
KeyEasy,,,Знайсці ключ,,,,Find the key (easy),,Trouver la clé (facile),,,,,,,,,Найти ключ,,,
Key,,,Знайсці ключы,,,,Find the keys,,Trouver les clés,,,,,,,,,Найти ключи,,,
Coin,,,найсці манету,,,,Find the coins,,Trouver les pièces,,,,,,,,,Найти монету,,,
Look at the destination box to move,Për të lëvizur shiko kutinë ku do të mbërrish,أنظر إلى المربع لتتحرك,Паглядзі на патрэбную скрынку каб перасунуць аб'ект,注视目标方块来移动,,,Look at the destination box to move,,Regarde la boîte de destination pour bouger,,,,Guarda la cassetta destinazione per muoverti,,Kijk naar de bestemmingsbox om te verplaatsen,,,Посмотри на нужную коробку чтобы передвинуть объект,Mira el cuadro de destino para moverte,,
Look the movement arrows around the mouse to move,Për të lëvizur shiko shigjetat përqark miut,أنظر إلى الأسهم حول الفأر لتتحرك,Глядзі на стрэлкі вакол мышкі каб перасоўвацца,注视老鼠周围的箭头来移动,,,Look the movement arrows around the mouse to move,,Regarde les flèches de mouvement autour de la souris pour bouger,,,,Guarda le frecce di movimento intorno al topo per muoverti,,Kijk naar de pijlen rond de muis om te verplaatsen,,,Смотри на стрелки вокруг мышки чтобы передвигаться,Mira las flechas de movimiento alrededor del ratón para moverte,,
Look the movement arrows around the labyrinth to move,Për të lëvizur shiko shigjetat përqark labirintit,أنظر إلى الأسهم حول المتاهات لتتحرك,Глядзі на стрэлкі вакол лабірынта каб перасоўвацца,注视迷宫周围的箭头来移动,,,Look the movement arrows around the labyrinth to move,,Regarde les flèches de mouvement autour du labyrinthe pour bouger,,,,Guarda le frecce di movimento intorno al labirinto per muoverti,,Kijk naar de pijlen rond het labyrint om te verplaatsen,,,Смотри на стрелки вокруг лабиринта чтобы передвигаться,Mira las flechas de movimiento alrededor del laberinto para moverte,,
Select the mouse then look at the destination box to move,Selekto miun pastaj shiko kutinë ku do të mbërrish,إختر الفأر ثم أنظر إلى الوجهة لتتحرك,Спачатку выберы мыш і потым патрэбную скрынку,注视老鼠以选择，注视目标方块来移动,,,Select the mouse then look at the destination box to move,,Selectionne la souris et après regarde la boîte de destination pour bouger,,,,Selezziona il topo poi guarda la cassetta di destinazione per muoverti,,Kijk naar de muis; kijk dan naar de bestemmingsbox om te verplaatsen,,,Сначала выбери мышь и потом нужную коробку,Selecciona el ratón y luego mira el cuadro de destino para moverte,,
AnimeLook at the destination box to move,,,З анімацыяй. Паглядзі на патрэбную скрынку каб перасунуць аб'ект,,,,With animation. Look at the destination box to move,,Avec animation. Regarde la boîte de destination pour bouger,,,,,,,,,С анимацией. Посмотри на нужную коробку чтобы передвинуть объект,,,
AnimeLook the movement arrows around the mouse to move,,,З анімацыяй. Паглядзі на патрэбную скрынку каб перасунуць аб'ект,,,,With Animation. Look the movement arrows around the mouse to move,,Avec animation. Regarde les flèches de mouvement autour de la souris pour bouger,,,,,,,,,С анимацией. Смотри на стрелки вокруг мышки чтобы передвигаться,,,
AnimeLook the movement arrows around the labyrinth to move,,,З анімацыяй. Глядзі на стрэлкі вакол лабірынта каб перасоўвацца,,,,With Animation. Look the movement arrows around the labyrinth to move,,Avec animation. Regarde les flèches de mouvement autour du labyrinthe pour bouger,,,,,,,,,С анимацией. Смотри на стрелки вокруг лабиринта чтобы передвигаться,,,
AnimeSelect the mouse then look at the destination box to move,,,З анімацыяй. Спачатку выберы мыш і потым патрэбную скрынку,,,,With animation. Select the mouse then look at the destination box to move,,Avec animation. Selectionne la souris et après regarde la boîte de destination pour bouger,,,,,,,,,С анимацией. Сначала выбери мышь и потом нужную коробку,,,
Look at the house box to move,,أنظر إلى المنزل لتتحرك,,,,,Look at the house box to move,,Regarde la maison pour bouger,,,,,,,,,,,,
Look the movement arrows around the character to move,,أنظر إلى الأسهم حول الشخصية لتتحرك,,,,,Look the movement arrows around the character to move,,Regarde les flèches de mouvement autour du personnage pour bouger,,,,,,,,,,,,
Look the movement arrows around the labyrinth to move the character,,أنظر إلى الأسهم حول المتاهات لتتحرك الشخصية,,,,,Look the movement arrows around the labyrinth to move the character,,Regarde les flèches de mouvement autour du labyrinthe pour bouger le personnage,,,,,,,,,,,,
Select the character then look at the house box to move,,إختر الشخصية ثم أنظر إلى المنزل لتتحرك,,,,,Select the character then look at the house box to move,,Selectionne le personnage et après regarde la maison de destination pour bouger,,,,,,,,,,,,
AnimeLook at the house box to move,,مع واجهة متحركة. أنظر إلى المنزل لتتحرك,,,,, with animation. Look at the house box to move,,Avec animation. Regarde la maison pour bouger,,,,,,,,,,,,
AnimeLook the movement arrows around the character to move,, مع واجهة متحركة. أنظر إلى الأسهم حول الشخصية لتتحرك,,,,,with animation. Look the movement arrows around the character to move,,Avec animation. Regarde les flèches de mouvement autour du personnage pour bouger,,,,,,,,,,,,
AnimeLook the movement arrows around the labyrinth to move the character,,مع واجهة متحركة. أنظر الى الأسهم حول المتاهات لتتحرت الشخصية,,,,,with animation. Look the movement arrows around the labyrinth to move the character,,Avec animation. Regarde les flèches de mouvement autour du labyrinthe pour bouger le personnage,,,,,,,,,,,,
AnimeSelect the character then look at the house box to move,,مع واجهة متحركة. إختر الشخصية ثم أنظر إلى المنزل لتتحرك,,,,,with animation. Select the character then look at the house box to move,,Avec animation. Selectionne le personnage et après regarde la maison de destination pour bouger,,,,,,,,,,,,
Biboule,,,,,,,Biboule,,Biboule,,,,,,,,,,,,
UserP,,,,,,,User's portraits,,Portraits de l'utilisateur,,,,,,,,,,,,
Random,,,Выпадковы,随机,,,Random,,Hasard,,,,,,Willekeurig,,,Случайный,,,
Vertical,,,Вертыкальны,纵向,,,Vertical,,Vertical,,,,,,Verticaal,,,Вертикальный,,,
Horizontal,,,Гарызантальны,横向,,,Horizontal,,Horizontal,,,,,,Horizontaal,,,Горизонтальный,,,
Diagonal from upper left to lower right,,,З верхняга левага і ў ніжні правы,左上角 - 右下角,,,Upper Left - Lower Right,,Haut Gauche – Bas Droite,,,,,,Boven links - onder rechts,,,С верхнего левого и в нижний правый,,,
Diagonal from upper right to lower left,,,З верхняга правага і ў ніжні левы,右上角 - 左下角,,,Upper Right - Lower Left,,Haut Droite - Bas Gauche,,,,,,Boven rechts - onder links,,,С верхнего правого и в нижний левый,,,
Random Dynamic,,,Выпадковы Адаптуемы,随机,,,Random Dynamic,,Hasard Dynamique,,,,,,Willekeurig Dynamiek,,,Случайный Адаптируемый,,,
Vertical Dynamic,,,Вертыкальны Адаптуемы,,,,Vertical Dynamic,,Vertical Dynamique,,,,,,Verticaal Dynamiek,,,Вертикальный Адаптируемый,,,
Horizontal Dynamic,,,Гарызантальны Адаптуемы,横向,,,Horizontal Dynamic,,Horizontal Dynamique,,,,,,Horizontaal Dynamiek,,,Горизонтальный Адаптируемый,,,
Diagonal from upper left to lower right Dynamic,,,З верхняга левага і ў ніжні правы Адаптуемы,左上角 - 右下角,,,Upper Left - Lower Right Dynamic,,Haut Gauche – Bas Droite Dynamique,,,,,,Boven links - onder rechts Dynamiek,,,С верхнего левого и в нижний правый Адаптируемый,,,
Diagonal from upper right to lower left Dynamic,,,З верхняга правага і ў ніжні левы Адаптуемы,右上角 - 左下角,,,Upper Right - Lower Left Dynamic,,Haut Droite - Bas Gauche Dynamique,,,,,,Boven rechts - onder links Dynamiek,,,С верхнего правого и в нижний левый Адаптируемый,,,
TwoPlayers,,,,,,,2 players,,2 joueurs,,,,,,,,,,,,
VsComputer,,,,,,,versus the computer,,Contre l'ordinateur,,,,,,,,,,,,
OuiNon Haut-Bas,,,Так уверх Не ўніз,,,,Yes at the top and no at the bottom,,Oui en haut et non en bas,,,,,,,,,Да вверх Нет вниз,,,
OuiNon Bas-Haut,,,Так ўніз Не уверх,,,,Yes at the bottom and no at the top,,Oui en bas et non en haut,,,,,,,,,Да вниз Нет вверх,,,
OuiNon Gauche-Droite,,,Так налева Не направа,,,,Yes to the left and no to the rigth,,Oui à gauche et non à droite,,,,,,,,,Да влево Нет вправо,,,
OuiNon Droite-Gauche,,,Так направа Не налева,,,,Yes to the rigth and no to the left,,Oui à droite et non à gauche,,,,,,,,,Да вправо Нет влево,,,
Numbers,Numra,,Цыфры,数字,,,Numbers,,Nombres,,,,Numeri,,Cijfers,,,Цифры,,,
Mona Lisa,Mona Liza,,Мона Ліза,蒙娜丽莎,,,Mona Lisa,,Mona Lisa,,,,Mona Lisa,,Mona Lisa,,,Мона Лиза,,,
Fish,Peshk,,Рыба,鱼,,,Fish,,Poisson,,,,Pesce,,Vis,,,Рыба,,,
Farm,,,Ферма,农场,,,Farm,,Ferme,,,,,,Boerderij,,,Ферма,,,
Jungle,,,Джунглі,丛林,,,Jungle,,Jungle,,,,,,Jungle,,,Джунгли,,,
Savanna,,,Саванна,稀树草原,,,Savanna,,Savane,,,,,,Savanne,,,Саванна,,,
Sea,,,Мора,,,,Sea,,Mer,,,,,,,,,Море,,,

# CONTEXT TITLES
ConfigTitle,Konfigurimi,ترتيب,Канфігурацыя,恭喜你！,Konfiguration,Διαμόρφωση,Configuration,asetuksen nimi,Configuration,विन्यास,Konfiguracija,Konfigurasi,Configurazione,構成,Configuratie,Konfiguracja,Configuraçaô,Конфигурация,Configuración,Tùy chỉnh,Konfigurasi
StatsTitle,Statistika,احصائيات,Статыстыка,游戏数据,Statistiken,Στατιστικά,Statistics,otsikko,Statistiques,विन्यास,Statistika,Statistik,Statistiche,統計,Statistieken,Statystyka,Estatística,Статистика,Estadísticas,Số liệu thống kê,Statistik
AreaOfInterest,Zona e Interesit,Area Of Interest,Зона цікавасці,关键注视区,Area Of Interest,Area Of Interest,Area Of Interest,Area Of Interest,Zone d'Intérêt,,Area Of Interest,Area Of Interest,Area Of Interest,Area Of Interest,Rustpunt blikrichting,Area Of Interest,Area Of Interest,Зона интереса,Area Of Interest,,Area Of Interest

# USERS CONTEXT
DefaultUser,Përdorues i parazgjedhur,مستخدم افتراضي,Карыстальнік па змаўчанні,默认用户,Standardbenutzer,Προεπιλεγμένος χρήστης,Default User,poista käyttäjä,Utilisateur par Défaut,,Zadani korisnik,Pengguna Lalai,Utente standard,,Standaard Gebruiker,Domyślny użytkownik,*Usuário padrão,Пользователь по умолчанию,Usuario predeterminado,Người dùng mặc định,Pengguna Lalai
AddUser,Shto një përdorues të ri,اظافة مستخدم جديد,Дадаць новага карыстальніка,添加新用户,Neuen Benutzer hinzufügen,Προσθήκη νέου χρήστη,Add new user,lisää käyttäjä,Ajouter un nouvel utilisateur,,Dodaj novog korisnika,Tambah pengguna baharu,Aggiungi un nuovo utente,,Voeg gebruiker toe,Dodaj nowego użytkownika,aby zatrzymać / rozpocząć emulację; Naciśnij spację,Добавить нового пользователя,Agregar un usuario,Thêm người dùng mới,Tambah pengguna baharu
UserModif,Modifiko përdoruesin,تغيير المستخدم,Абнаўленне дадзеных карыстальніка,修改用户,Ändern des Benutzers,Τροποποίηση χρήστη,User Modification,käyttäjän muokkaaminen,Modification de l'utilisateur,,Modificiraj korisnika,Pengubahsuaian Pengguna,Modifica utente,,Instellingen gebruikers,Modyfikacja użytkownika,*Modificação do usuário,Обновление данных пользователя,Modificación del usario,Tùy chỉnh người dùng,Pengubahsuaian Pengguna
NewUser,Përdorues i ri,مستخدم جديد,Новы карыстальнік,新用户,Neuer Benutzer,Νέος χρήστης,New user,uusi käyttäjä,Nouvel utilisateur,,Novi korisnik,Pengguna baru,Nuovo utente,,Nieuwe gebruiker,Nowy użytkownik,*Novo usuário,Новый пользователь,Nuevo usario,Người dùng mới,Pengguna baru
Name,Emri,اسم,Імя,名字,Name,Όνομα,Name,nimi,Nom,,Ime,Nama,Nome,,Naam,Nazwa,*Nome,Имя,Nombre,Tên,Nama
enterName,Shruaj një emër,ادخل الاسم,Увядзіце імя,输入用户名,Geben Sie einen Namen,Εισαγάγετε ένα όνομα,Enter a name,lisää nimi,Entrer un nom,,Unesi ime,Masukkan nama,Inserisci un nome,,Geef een naam,Wpisz imię,*Insira o nome,Введите имя,Ingresa un nombre,Nhập tên,Masukkan nama
AlreadyUsed,Ky përdorues ekziston,اسم المستخدم غير متوفر,Карыстальнік з такім імем ўжо існуе,,Dieser Benutzername existiert bereits,Αυτό το όνομα χρήστη υπάρχει ήδη,This user name exists already,käytössä,Ce nom d'utilisateur existe déjà,,Ime korisnika već postoji,Nama pengguna ini sudah wujud,Questo nome utente è già utilizzato,,Deze gebruikersnaam bestaat reeds,Ta nazwa użytkownika już istnieje,*Este nome de usuário já existe,Пользователь с таким именем уже существует,Este nombre de usario ya existe,Tên người dùng này đã tồn tại,Nama pengguna ini sudah wujud
Image,Imazh,صورة,Малюнак,图像,Bild,Εικόνα,Image,kuva,Image,,Slika,Gambar,Immagine,,Afbeelding,Obraz,*Imagem,Изображение,Imagen,Hình ảnh,Gambar
ChooseImage,Zgjidh një imazh,اختر صورة,Выберыце малюнак,选择图像,Wählen Sie ein Bild,Επιλέξτε μια εικόνα,Choose an image,valitse kuva,Choisissez une image,,Izaberi sliku,Pilih imej,Scegli un'immagine,,Kies een afbeelding,Wybierz obraz,*Escolha uma imagem,Выберите изображение,Elige una imagen,Chọn một hình,Pilih imej

# MAIN MENU CONTEXT
closeWindowToContinueToGazePlay,Mbyllni këtë dritare për të vazhduar te GazePlay,أغلق هذه النافذة للمتابعة إلى GazePlay,Зачыніце гэта акно каб працягнуць у GazePlay,关闭此窗口以继续 GazePlay,Schließen Sie dieses Fenster um mit GazePlay fortzufahren,Κλείστε αυτό το παράθυρο για να συνεχίσετε στο GazePlay,Close this window to continue to GazePlay,Sulje tämä ikkuna jatkaaksesi GazePlayhin,Fermez cette fenêtre pour continuer vers GazePlay,GazePlay जारी रखने के लिए इस विंडो को बंद करें,Zatvorite ovaj prozor za nastavak na GazePlay,Tutup jendela ini untuk melanjutkan ke GazePlay,Chiudi questa finestra per continuare su GazePlay,GazePlay に進むには、このウィンドウを閉じます,Sluit dit venster om door te gaan naar GazePlay,Zamknij to okno aby przejść do GazePlay,Feche esta janela para continuar no GazePlay,Закройте это окно чтобы продолжить просмотр GazePlay чтобы продолжить в GazePlay,Cierra esta ventana para continuar con GazePlay,Đóng cửa sổ này để tiếp tục GazePlay,Tutup tetingkap ini untuk meneruskan ke GazePlay
games count,Numri i lojërave,عدد الألعاب,Колькасць гульняў,游戏数,Anzahl von Spielen,Αριθμός παιχνιδιών,Number of games,Pelien määrä,Nombre de jeux,खेलों की संख्या,Broj igara,Jumlah permainan,Numero di giochi,ゲーム数,Aantal spellen,Liczba gier,Número de jogos,Количество игр,Numero de juegos,Số lượng trò chơi,Bilangan permainan
games variants count,Numri i varianteve të lojës,عدد متغيرات اللعبة,Колькасць гульнявых варыянтаў,游戏变体数量,Anzahl Spielvarianten,Αριθμός παραλλαγών παιχνιδιού,Number of game variants,Peliversioiden määrä,Nombre de variantes de jeux,गेम वेरिएंट की संख्या,Broj varijanti igre,Jumlah varian permainan,Numero di varianti di gioco,ゲームバリアントの数,Aantal spelvarianten,Liczba wariantów gry,Número de variantes do jogo,Количество вариантов игры,Número de variantes del juego,Số lượng biến thể trò chơi,Bilangan varian permainan
Options,Cilësimet,إعدادات,Налады,设置,Einstellungen,Ρυθμίσεις,Options,asetukset,Réglages,समायोजन,postavke,Pengaturan,Impostazioni,設定,Instellingen,Ustawienia,Definições,Настройки,Ajustes,Cài đặt,tetapan
BackToMenu,Kthehu në menunë kryesore,العودة إلى القائمة الرئيسية,Назад у галоўнае меню,返回主菜单,Zurück zum Home-Menü,Επιστροφή στο αρχικό μενού,Back to home menu,Takaisin kotivalikkoon,Retour au menu principal,होम मेनू पर वापस जाएं,Povratak na početni izbornik,Kembali ke menu rumah,Torna al menu principale,ホームメニューに戻る,Terug naar hoofdmenu,Powrót do menu głównego,Voltar ao menu inicial,Назад в главное меню,Volver al menú de inicio,Quay lại menu chính,Kembali ke menu utama
Replay,Përsëritje,اعادتها,Паўтор,重播,Wiederholung,Επανάληψη,Replay,Uusinta,Rejouer,फिर से खेलना,Replay,Memutar ulang,Rigiocare,リプレイ,Herhaling,Powtórna rozgrywka,Repetir,Повтор,Repetición,phát lại,Main semula
Logout,Shkyç,تسجيل خروج,Выйсці з сістэмы,登出,Ausloggen,Αποσύνδεση,Logout,Kirjautua ulos,Déconnection,लॉग आउट,Odjavite se,Keluar,Disconnettersi,ログアウト,Uitloggen,Wyloguj,Sair,Выйти,Cerrar sesión,Đăng xuất,Log keluar
Exit,Dilni,مخرج,Выхад,出口,Ausgang,Εξοδος,Exit,Poistu,Quitter,बाहर निकलना,Izlaz,Keluar,Uscita,出口,Uitgang,Wyjście,Saída,Выход,Salida,Lối ra,Keluar
Loading...,,,Загрузка,,,,Loading...,,Chargement...,,,,,,,,,Загрузка,,,

# SETTING SECTIONS
LanguageSettings,,,Налады мовы,,,,Language Settings,,Paramètres de Langage,,,,,,,,,Настройки языка,,,
BeraSettings,,,,,,,Settings for Bera games,,Paramètres pour les jeux Bera,,,,,,,,,,,,
GamesSettings,,,Наладкі гульні,游戏设置,,,Games Settings,,Paramètres de Jeux,,,,,,,,,Настройки игры,,,
EyeTrackerSettings,,,Наладкі Айтрэкеру,眼动追踪设置,,,Eye-Tracker Settings,,Paramètres de l'Oculomètre,,,,,,,,,Настройки АйТрекера,,,
